Cell Line Name;Tissue;Tissue sub-type;IC50;Cell Line Name;Primary Disease;TP53 log2(TPM+1) Expression Public 22Q4;BRAF log2(TPM+1) Expression Public 22Q4;ATOX1 log2(TPM+1) Expression Public 22Q4;SLC31A1 log2(TPM+1) Expression Public 22Q4;ATP7A log2(TPM+1) Expression Public 22Q4;ATP7B log2(TPM+1) Expression Public 22Q4;Cell Line Name;disulfiram (BRD:BRD-K32744045-001-31-2) AUC Drug sensitivity AUC (PRISM Repurposing Secondary Screen)
MDA-MB-436;breast;breast;51.786893;HS742T;Non-Cancerous;3,72;2,55;7,72;5,01;1,78;1,33;;
23132-87;digestive_system;stomach;52.222420;SNU638;Esophagogastric Adenocarcinoma;5,78;2,46;6,54;3,77;1,84;2,29;;
LCLC-103H;lung;lung_NSCLC_large_cell;52.321802;SNU407;Colorectal Adenocarcinoma;6,40;3,35;6,23;4,82;2,56;2,90;;
A172;nervous_system;glioma;52.477881;HEKTE;Non-Cancerous;6,15;2,63;7,61;4,34;1,93;1,72;;
LOU-NH91;lung;lung_NSCLC_squamous_cell_carcinoma;52.538582;NCIH1734;Non-Small Cell Lung Cancer;5,93;3,76;6,93;4,75;2,57;0,83;;
NCI-H1581;lung;lung_NSCLC_large_cell;52.627614;HS255T;Non-Cancerous;4,39;3,01;7,62;4,54;2,72;2,20;;
NCI-H1648;lung;lung_NSCLC_adenocarcinoma;52.914575;KARPAS620;Non-Hodgkin Lymphoma;6,17;3,41;7,49;3,42;2,51;2,84;;
CAMA-1;breast;breast;54.407690;HUTU80;Small Bowel Cancer;5,56;3,46;7,02;4,00;2,00;2,59;;
T-T;aero_digestive_tract;oesophagus;54.973957;SHI1;Acute Myeloid Leukemia;5,03;2,12;6,48;3,48;0,83;1,00;;
T98G;nervous_system;glioma;55.331125;SHMAC5;Prostate Adenocarcinoma;5,28;2,77;6,51;4,03;1,51;2,52;;
A204;soft_tissue;rhabdomyosarcoma;55.661887;SW1990;Pancreatic Adenocarcinoma;5,38;2,91;8,67;3,49;0,54;0,36;;
HO-1-u-1;aero_digestive_tract;head_and_neck;56.479379;HPAC;Pancreatic Adenocarcinoma;3,62;3,27;5,24;2,96;2,13;1,46;;
NCI-H1944;lung;lung_NSCLC_adenocarcinoma;58.394316;SNU503;Colorectal Adenocarcinoma;5,49;3,54;6,92;3,92;2,01;2,04;;
RERF-LC-KJ;lung;lung_NSCLC_adenocarcinoma;58.454890;OMM1;Ocular Melanoma;3,26;3,34;10,11;5,60;2,06;0,82;;
ECC10;digestive_system;stomach;59.168363;SF268;Diffuse Glioma;7,22;2,99;7,86;4,68;1,84;2,28;;
HCC1187;breast;breast;59.260602;SKLMS1;Leiomyosarcoma;5,81;3,24;7,89;3,97;2,67;0,83;;
BxPC-3;pancreas;pancreas;59.777490;EMTOKA;Endometrial Carcinoma;4,88;2,28;8,22;3,72;1,02;2,61;;
D-392MG;nervous_system;glioma;60.148646;SCC25;Head and Neck Squamous Cell Carcinoma;2,05;1,99;6,42;4,05;0,97;0,29;;
NCI-H2731;lung;mesothelioma;60.403199;BDCM;Acute Myeloid Leukemia;5,93;3,14;7,52;3,27;1,90;0,56;;
ESO51;aero_digestive_tract;oesophagus;60.523546;THP1;Acute Myeloid Leukemia;2,71;3,21;7,31;3,42;1,06;1,49;;
WM35;skin;melanoma;61.911834;BICR6;Head and Neck Squamous Cell Carcinoma;1,67;1,85;5,98;3,22;0,94;0,42;;
SNG-M;urogenital_system;endometrium;62.351940;HEC116;Endometrial Carcinoma;5,56;3,50;6,41;4,70;2,03;1,90;;
KARPAS-620;blood;haematopoietic_neoplasm_other;62.595889;HCC1438;Non-Small Cell Lung Cancer;3,05;3,27;7,01;4,13;2,95;1,70;;
NCI-N87;digestive_system;stomach;63.015307;OSC19;Head and Neck Squamous Cell Carcinoma;2,67;2,45;8,52;4,52;1,85;1,45;;
SK-OV-3;urogenital_system;ovary;63.883331;CL34;Colorectal Adenocarcinoma;6,25;3,08;5,82;5,30;1,88;3,50;;
NCI-H2795;lung;mesothelioma;63.954469;MORCPR;Non-Small Cell Lung Cancer;2,83;2,83;6,75;4,54;1,74;1,69;;
SN12C;kidney;kidney;65.443786;KYSE510;Esophageal Squamous Cell Carcinoma;4,08;2,78;7,03;4,48;1,33;0,93;;
OVCAR-5;urogenital_system;ovary;66.321779;NCIH146;Lung Neuroendocrine Tumor;3,99;3,99;7,16;3,88;1,68;1,12;;
NCI-H810;lung;lung_NSCLC_large_cell;66.644668;HS606T;Non-Cancerous;5,29;2,90;7,30;4,72;1,90;1,31;;
HOP-62;lung;lung_NSCLC_adenocarcinoma;66.842714;HH;Non-Hodgkin Lymphoma;2,69;3,11;7,38;3,76;1,72;0,12;;
OV-90;urogenital_system;ovary;66.915493;HS737T;Non-Cancerous;5,02;3,05;7,91;5,42;2,55;2,24;;
HeLa;urogenital_system;cervix;67.753765;UACC812;Invasive Breast Carcinoma;4,20;1,84;7,88;2,56;1,52;4,27;;
NCI-H2818;lung;mesothelioma;67.832642;P3HR1;Non-Hodgkin Lymphoma;5,64;3,25;6,64;4,36;1,43;0,03;;
EVSA-T;breast;breast;67.881787;BEN;Non-Small Cell Lung Cancer;4,00;2,75;6,65;4,51;2,25;1,74;;
ASH-3;thyroid;thyroid;68.112930;KCL22;Myeloproliferative Neoplasms;3,52;3,81;6,87;5,69;1,82;4,26;;
COLO-684;urogenital_system;endometrium;68.160857;KMS34;Non-Hodgkin Lymphoma;3,22;4,27;6,48;4,60;1,95;0,46;;
SCC-9;aero_digestive_tract;head_and_neck;68.647919;SW948;Colorectal Adenocarcinoma;3,34;3,28;6,48;4,50;1,27;4,65;;
JIMT-1;breast;breast;69.381478;HT144SKINFV2;Melanoma;5,52;3,11;8,02;4,35;2,50;1,91;;
NCI-H358;lung;lung_NSCLC_adenocarcinoma;69.966530;HCC1187;Invasive Breast Carcinoma;6,96;3,91;6,72;4,56;2,58;2,61;;
NCI-H345;lung;lung_small_cell_carcinoma;70.927858;RPE1SS77;Non-Cancerous;5,17;2,32;7,78;4,01;2,29;1,52;;
SW837;digestive_system;large_intestine;71.602508;MOLM16;Acute Myeloid Leukemia;6,71;3,77;5,44;3,92;2,87;4,66;;
COR-L105;lung;lung_NSCLC_adenocarcinoma;72.158178;SNU1041;Head and Neck Squamous Cell Carcinoma;5,51;2,09;7,16;4,23;2,18;1,82;;
KARPAS-45;blood;lymphoblastic_leukemia;72.578627;SW1463;Colorectal Adenocarcinoma;5,30;3,18;6,89;4,50;1,02;4,44;;
C2BBe1;digestive_system;large_intestine;72.799843;PK8;Pancreatic Adenocarcinoma;2,79;3,61;7,19;4,99;2,11;1,86;;
HCC-15;lung;lung_NSCLC_squamous_cell_carcinoma;72.943377;HUPT3;Pancreatic Adenocarcinoma;4,27;3,16;7,39;4,36;1,55;1,80;;
HT-1080;soft_tissue;fibrosarcoma;72.999656;RVH421;Melanoma;5,83;3,59;9,38;5,98;2,56;2,15;;
Hs-578-T;breast;breast;73.334518;CHP134;Neuroblastoma;6,29;4,80;6,17;4,04;1,61;2,27;;
JHH-2;digestive_system;liver;74.118945;BV173;Myeloproliferative Neoplasms;5,76;3,95;4,65;2,63;1,67;3,17;;
NCI-H1975;lung;lung_NSCLC_adenocarcinoma;74.884231;SIHA;Cervical Squamous Cell Carcinoma;5,76;3,64;7,92;5,04;3,36;1,83;;
KP-3;pancreas;pancreas;75.891616;LPS510;Liposarcoma;3,68;2,58;8,32;4,82;2,30;0,33;;
LU-99A;lung;lung_NSCLC_large_cell;75.929647;SCLC22H;Lung Neuroendocrine Tumor;4,33;3,78;7,54;4,72;1,74;3,59;;
SK-MES-1;lung;lung_NSCLC_squamous_cell_carcinoma;77.362896;DL40;Non-Hodgkin Lymphoma;6,21;3,17;7,60;3,28;2,20;2,03;;
MDA-MB-361;breast;breast;77.568875;HT3;Cervical Adenocarcinoma;4,18;1,82;7,53;4,01;0,91;1,03;;
HCC1419;breast;breast;78.994443;KML1;Non-Hodgkin Lymphoma;4,12;3,03;8,04;3,51;2,13;0,36;;
KURAMOCHI;urogenital_system;ovary;79.464440;HS294T;Melanoma;5,89;3,66;8,62;4,62;2,74;2,56;;
SK-HEP-1;digestive_system;liver;79.576252;NCCLMS1C1;Leiomyosarcoma;0,84;3,25;7,71;5,09;2,51;2,53;;
HCC2218;breast;breast;79.890193;KYSE520;Esophageal Squamous Cell Carcinoma;5,71;2,83;7,24;3,88;1,26;1,48;;
CGTH-W-1;thyroid;thyroid;80.150298;S462;Nerve Sheath Tumor;4,92;3,13;6,33;3,99;3,25;2,53;;
COR-L88;lung;lung_small_cell_carcinoma;80.389623;LN428;Diffuse Glioma;5,59;2,80;6,87;4,32;2,72;1,42;;
MDA-MB-453;breast;breast;80.423714;H4;Diffuse Glioma;5,62;3,26;7,27;5,61;2,79;2,19;;
NCI-H2085;lung;lung_NSCLC_adenocarcinoma;80.609148;MPNST724;Nerve Sheath Tumor;4,71;3,02;7,91;5,47;3,24;1,17;;
SK-MG-1;nervous_system;glioma;81.400012;NCIH1341;Lung Neuroendocrine Tumor;5,84;4,15;6,41;3,85;2,83;2,32;;
Hey;urogenital_system;ovary;81.959199;SF767;Cervical Squamous Cell Carcinoma;6,33;2,90;6,74;4,75;2,99;1,71;;
TE-8;aero_digestive_tract;oesophagus;83.256991;NCIH1915;Non-Small Cell Lung Cancer;3,11;2,83;8,42;3,90;1,14;0,31;;
NCI-H720;lung;lung_NSCLC_carcinoid;84.478644;HELA;Cervical Adenocarcinoma;5,64;2,18;6,90;4,23;1,99;0,60;;
TE-6;aero_digestive_tract;oesophagus;85.305332;T3M5;Head and Neck Squamous Cell Carcinoma;4,56;2,17;8,50;4,31;1,14;1,21;;
TGBC11TKB;digestive_system;stomach;85.329932;TTC709;Embryonal Tumor;5,94;2,92;7,79;4,32;1,79;3,13;;
FU97;digestive_system;stomach;85.640485;GI1;Diffuse Glioma;5,85;3,08;7,40;4,24;2,34;2,34;;
IA-LM;lung;lung_NSCLC_large_cell;85.918628;J82;Bladder Urothelial Carcinoma;4,35;2,84;7,90;4,84;1,04;2,01;;
SiHa;urogenital_system;cervix;86.308167;NCIH684;Colorectal Adenocarcinoma;5,74;2,87;7,23;5,49;2,34;3,45;;
HCC-78;lung;lung_NSCLC_adenocarcinoma;87.046034;RL;Non-Hodgkin Lymphoma;5,42;4,29;7,53;4,62;1,69;0,30;;
SW1088;nervous_system;glioma;87.670697;KP4;Pancreatic Adenocarcinoma;1,58;3,80;7,41;4,08;2,45;1,53;;
KYAE-1;aero_digestive_tract;oesophagus;88.107344;JHOS2;Ovarian Epithelial Tumor;6,31;2,65;7,54;4,45;1,88;1,90;;
SKN;urogenital_system;uterus;90.104983;JHESOAD1;Esophagogastric Adenocarcinoma;5,84;2,88;7,62;3,73;1,90;0,74;;
COLO-205;digestive_system;large_intestine;90.547513;HOS;Osteosarcoma;6,64;2,62;6,64;4,53;1,01;2,84;;
HCC202;breast;breast;91.989593;KYSE150;Esophageal Squamous Cell Carcinoma;6,03;3,34;7,84;4,36;2,36;2,28;;
NCI-H716;digestive_system;large_intestine;92.496987;ES2;Ovarian Epithelial Tumor;5,54;3,40;8,15;3,75;1,07;1,86;;
COLO-824;breast;breast;93.904388;RPMI7951;Melanoma;3,52;3,49;7,27;4,98;2,98;1,39;;
COLO-792;skin;melanoma;94.482541;KHYG1;T-Lymphoblastic Leukemia/Lymphoma;4,94;2,19;6,28;1,71;0,45;0,50;;
UACC-257;skin;melanoma;95.492336;SCC4;Head and Neck Squamous Cell Carcinoma;5,89;2,21;6,75;4,20;0,82;1,26;;
HCC-827;lung;lung_NSCLC_adenocarcinoma;95.581496;JHOM1;Ovarian Epithelial Tumor;4,95;2,93;7,86;4,53;2,38;1,56;;
IM-95;digestive_system;stomach;96.065263;HLF;Hepatocellular Carcinoma;5,32;2,75;7,74;4,19;2,21;3,67;;
HCC1500;breast;breast;97.279477;SNU201;Diffuse Glioma;6,91;3,24;7,91;5,01;2,81;0,99;;
HEC-1;urogenital_system;endometrium;97.409554;MG63;Osteosarcoma;2,40;2,01;7,95;4,12;1,77;1,28;;
NCI-H1435;lung;lung_NSCLC_adenocarcinoma;97.550793;CHLA06ATRT;Embryonal Tumor;4,92;1,87;7,71;3,17;0,59;1,57;;
CAL-85-1;breast;breast;98.254538;MDAMB157;Invasive Breast Carcinoma;3,61;2,99;9,13;4,07;2,03;1,76;;
NCI-H1688;lung;lung_small_cell_carcinoma;98.713356;SAT;Head and Neck Squamous Cell Carcinoma;6,02;2,48;7,60;4,20;2,75;1,96;;
KMRC-1;kidney;kidney;99.123278;DOHH2;Non-Hodgkin Lymphoma;6,60;3,80;5,91;3,55;1,13;0,07;;
LS-1034;digestive_system;large_intestine;99.230120;SNU182;Hepatocellular Carcinoma;5,12;2,77;8,33;4,58;2,18;2,39;;
MCF7;breast;breast;100.361860;NCIH1092;Lung Neuroendocrine Tumor;4,56;4,08;6,01;4,30;3,16;2,13;;
JHH-7;digestive_system;liver;100.504767;TE617T;Rhabdomyosarcoma;4,70;3,29;6,94;4,18;2,79;3,90;;
SW1463;digestive_system;large_intestine;100.533543;HS895T;Non-Cancerous;3,46;2,61;8,12;4,64;2,21;0,84;;
KYSE-50;aero_digestive_tract;oesophagus;101.288125;EFO27;Ovarian Epithelial Tumor;5,98;3,07;6,83;5,28;2,02;2,84;;
NCI-H2029;lung;lung_small_cell_carcinoma;101.578025;TT2609C02;Well-Differentiated Thyroid Cancer;5,33;3,39;6,86;4,77;1,72;1,49;;
SNU-398;digestive_system;liver;102.125874;MFE319;Endometrial Carcinoma;6,36;2,06;7,08;4,89;2,54;2,87;;
HCC38;breast;breast;102.374044;MDAPCA2B;Prostate Adenocarcinoma;5,09;4,05;7,36;5,44;2,36;5,22;;
Calu-3;lung;lung_NSCLC_adenocarcinoma;103.438213;HTCC3;Anaplastic Thyroid Cancer;3,05;3,87;9,75;5,43;1,04;0,89;;
NCI-H196;lung;lung_small_cell_carcinoma;103.653834;OCIAML5;Acute Myeloid Leukemia;6,19;3,57;6,36;3,95;1,03;1,40;;
COLO-680N;aero_digestive_tract;oesophagus;105.336783;SF126;Diffuse Glioma;2,60;3,22;7,18;5,12;2,86;0,46;;
OVCAR-4;urogenital_system;ovary;106.071093;UMUC5;Bladder Squamous Cell Carcinoma;3,12;2,78;6,64;4,60;3,42;0,29;;
HuCCT1;digestive_system;biliary_tract;107.531459;SNB75;Diffuse Glioma;6,21;3,24;7,34;5,15;3,13;1,28;;
RT-112;urogenital_system;bladder;108.431066;22RV1;Prostate Adenocarcinoma;4,23;3,85;6,14;4,80;2,12;3,10;;
JHU-022;aero_digestive_tract;head_and_neck;108.796842;HS860T;Osteosarcoma;4,69;2,49;8,29;4,84;2,75;0,77;;
HuO-3N1;bone;osteosarcoma;109.846995;SUIT2;Pancreatic Adenocarcinoma;4,88;2,70;7,11;4,69;2,35;2,10;;
MDA-MB-415;breast;breast;110.467277;NCIH1944;Non-Small Cell Lung Cancer;4,46;2,70;6,50;4,14;1,18;1,18;;
RCM-1;digestive_system;large_intestine;111.631881;HSC2;Head and Neck Squamous Cell Carcinoma;3,62;1,98;6,09;3,00;1,21;1,21;;
TGBC1TKB;digestive_system;biliary_tract;112.506105;LS513;Colorectal Adenocarcinoma;5,97;2,52;6,93;4,50;1,37;4,70;;
EW-18;bone;ewings_sarcoma;112.709664;KPNSI9S;Neuroblastoma;5,76;3,05;7,11;3,95;2,30;2,59;;
LXF-289;lung;lung_NSCLC_adenocarcinoma;113.289054;KG1;Acute Myeloid Leukemia;3,32;2,91;5,77;3,90;2,28;1,31;;
MOG-G-CCM;nervous_system;glioma;113.829944;G415;Intracholecystic Papillary Neoplasm;6,81;2,58;8,83;3,79;1,30;0,26;;
DAN-G;pancreas;pancreas;114.347442;HCC2218;Breast Ductal Carcinoma In Situ;4,97;2,34;8,74;4,50;1,45;2,16;;
MFE-319;urogenital_system;endometrium;117.181744;KPL1;Invasive Breast Carcinoma;6,72;2,35;7,37;4,18;1,81;1,86;;
HTC-C3;thyroid;thyroid;118.317599;SKMES1;Non-Small Cell Lung Cancer;2,75;2,79;7,33;3,87;4,20;1,95;;
B-CPAP;thyroid;thyroid;121.117335;MHHNB11;Neuroblastoma;5,09;5,70;5,14;3,90;2,66;3,21;;
HT-29;digestive_system;large_intestine;122.077273;HTMMT;Endometrial Carcinoma;6,53;3,21;8,90;5,44;2,14;2,03;;
DoTc2-4510;urogenital_system;cervix;123.786724;TEN;Endometrial Carcinoma;3,51;3,28;7,24;3,66;0,87;2,17;;
IST-MES1;lung;mesothelioma;125.137085;HS822T;Non-Cancerous;4,71;2,94;7,79;5,57;2,22;1,67;;
NCI-H2342;lung;lung_NSCLC_adenocarcinoma;125.270380;CAL33;Head and Neck Squamous Cell Carcinoma;5,91;2,56;6,88;5,61;2,00;2,40;;
KS-1;nervous_system;glioma;127.819299;MM370;Melanoma;3,41;2,36;11,20;4,85;2,07;1,84;;
MKN45;digestive_system;stomach;132.059897;LS1034;Colorectal Adenocarcinoma;6,29;3,20;7,23;4,86;1,26;2,78;;
SNU-C2B;digestive_system;large_intestine;133.226686;G361;Melanoma;3,71;3,83;9,29;6,62;2,99;2,63;;
HCC1937;breast;breast;133.523553;NO10;Diffuse Glioma;5,20;1,98;8,79;4,77;2,12;1,77;;
NCI-H1092;lung;lung_small_cell_carcinoma;137.758355;HCC1419;Invasive Breast Carcinoma;4,24;3,12;6,85;4,97;1,86;3,54;;
BICR10;aero_digestive_tract;head_and_neck;138.620189;WM2664;Melanoma;4,98;3,25;8,33;3,69;3,26;0,97;;
MFE-296;urogenital_system;endometrium;138.887888;DAUDI;Non-Hodgkin Lymphoma;6,31;3,74;6,69;2,96;1,82;0,37;;
NCI-H1755;lung;lung_NSCLC_adenocarcinoma;142.891741;COLO668;Lung Neuroendocrine Tumor;5,20;3,35;5,91;4,32;2,26;5,00;;
PC-3_[JPC-3];lung;lung_NSCLC_adenocarcinoma;144.351822;MM253;Melanoma;4,02;3,61;7,39;6,32;2,44;2,00;;
FU-OV-1;urogenital_system;ovary;145.729417;HSKTC;Ovarian Cancer, Other;2,32;3,62;6,23;4,64;2,81;1,10;;
SNU-449;digestive_system;liver;146.424767;SNU761;Hepatocellular Carcinoma;3,20;2,12;6,44;4,37;2,92;1,50;;
NCI-H1703;lung;lung_NSCLC_adenocarcinoma;148.435526;KMS28BM;Non-Hodgkin Lymphoma;5,47;4,14;7,21;4,75;2,23;1,57;;
NCI-H64;lung;lung_small_cell_carcinoma;150.760059;HT1376;Bladder Urothelial Carcinoma;6,58;2,82;7,95;4,27;1,06;3,35;;
AN3-CA;urogenital_system;endometrium;151.091295;UMUC3;Bladder Urothelial Carcinoma;5,30;3,84;8,13;3,78;1,43;1,75;;
EN;urogenital_system;endometrium;157.089104;LU135;Lung Neuroendocrine Tumor;6,08;4,02;6,73;4,39;1,34;1,19;;
LS-411N;digestive_system;large_intestine;158.706546;EKVX;Non-Small Cell Lung Cancer;2,82;2,85;7,15;4,15;2,85;2,89;;
8505C;thyroid;thyroid;160.050294;NCIH1385;Non-Small Cell Lung Cancer;3,53;3,92;6,44;4,41;1,18;1,66;;
LU-165;lung;lung_small_cell_carcinoma;160.523512;BHY;Head and Neck Squamous Cell Carcinoma;3,70;3,40;6,58;4,92;1,63;1,59;;
HCC1954;breast;breast;162.429331;ICC137;Intraductal Papillary Neoplasm of the Bile Duct;5,17;1,77;9,12;4,20;2,34;1,29;;
CaR-1;digestive_system;large_intestine;164.532660;LPS141;Liposarcoma;6,18;1,93;7,35;5,47;2,23;2,27;;
HCC1569;breast;breast;167.326211;MOLM1;Myeloproliferative Neoplasms;2,94;2,09;5,06;1,44;0,53;3,24;;
NCI-H2369;lung;mesothelioma;168.632840;UACC62;Melanoma;3,94;3,02;9,68;4,43;2,41;1,78;;
OCUM-1;digestive_system;stomach;172.171874;G402;Renal Cell Carcinoma;5,68;3,20;7,31;4,38;2,09;3,34;;
KINGS-1;nervous_system;glioma;173.177221;JMSU1;Bladder Urothelial Carcinoma;6,22;3,52;7,32;4,64;0,85;0,45;;
NOS-1;bone;osteosarcoma;174.943855;HS834T;Non-Cancerous;4,81;3,25;8,32;5,53;2,07;3,19;;
A704;kidney;kidney;175.358652;PECAPJ49;Head and Neck Squamous Cell Carcinoma;0,64;2,22;7,41;4,66;1,54;1,18;;
HT55;digestive_system;large_intestine;176.047176;RAJI;Non-Hodgkin Lymphoma;5,89;3,54;7,35;4,05;1,28;0,38;;
IGR-1;skin;melanoma;176.581598;F5;Meningothelial Tumor;6,02;2,72;7,94;4,13;1,83;2,32;;
NCI-H2595;lung;mesothelioma;178.060619;PRECLH;Non-Cancerous;5,31;3,74;5,29;5,50;1,94;1,66;;
JHH-1;digestive_system;liver;178.320213;SUM229PE;Invasive Breast Carcinoma;5,20;3,07;6,23;4,11;1,70;0,70;;
Mewo;skin;melanoma;178.560406;K029AX;Melanoma;4,58;3,07;9,43;6,81;2,66;2,29;;
8305C;thyroid;thyroid;189.700066;IGR1;Melanoma;3,38;3,15;11,00;5,76;3,46;2,21;;
HuH-7;digestive_system;liver;196.526520;H357;Head and Neck Squamous Cell Carcinoma;4,51;2,50;5,56;3,87;0,85;1,30;;
OVCA420;urogenital_system;ovary;203.478108;CADOES1;Ewing Sarcoma;5,22;3,40;6,28;3,95;1,79;2,80;;
SW1116;digestive_system;large_intestine;206.456637;SCC15;Head and Neck Squamous Cell Carcinoma;3,25;2,50;7,06;4,68;1,42;0,78;;
RKN;urogenital_system;ovary;209.062198;KYO1;Myeloproliferative Neoplasms;5,55;4,17;6,52;2,74;3,13;3,89;;
EFM-192A;breast;breast;215.326733;PC3;Prostate Adenocarcinoma;1,77;2,41;7,20;3,62;1,18;1,31;;
MDA-MB-157;breast;breast;215.545680;SET2;Acute Myeloid Leukemia;6,11;2,60;5,50;3,36;3,46;6,35;;
KLE;urogenital_system;endometrium;218.408898;LPS6;Liposarcoma;4,75;1,89;7,89;1,80;0,70;0,97;;
NCI-H1563;lung;lung_NSCLC_adenocarcinoma;223.041700;SISO;Cervical Adenocarcinoma;4,57;2,75;6,87;5,80;2,31;1,34;;
CAS-1;nervous_system;glioma;225.390397;TE6;Esophageal Squamous Cell Carcinoma;6,26;3,26;6,40;4,26;2,73;1,76;;
PC-3;urogenital_system;prostate;230.496320;CJM;Melanoma;5,10;3,49;7,46;5,54;1,21;0,77;;
U-2-OS;bone;osteosarcoma;230.775291;MMAC;Melanoma;5,27;3,17;10,57;5,54;3,52;3,54;;
LB771-HNC;aero_digestive_tract;head_and_neck;234.974377;HEL;Acute Myeloid Leukemia;5,79;3,22;5,91;3,73;1,05;4,79;;
MKN28;digestive_system;stomach;235.271047;NCIH2887;Non-Small Cell Lung Cancer;5,47;2,97;8,19;3,78;2,21;0,49;;
NCI-H2373;lung;mesothelioma;235.818446;JK1;Myeloproliferative Neoplasms;5,51;3,46;5,69;4,06;3,88;5,23;;
SK-MEL-2;skin;melanoma;238.731100;SKRC31;Renal Cell Carcinoma;4,11;2,53;8,63;4,37;2,70;1,23;;
HDQ-P1;breast;breast;242.839566;TL1;Non-Hodgkin Lymphoma;5,06;2,53;5,93;2,88;1,14;0,34;;
NCI-H441;lung;lung_NSCLC_adenocarcinoma;243.132655;ASH3;Anaplastic Thyroid Cancer;6,06;2,71;8,52;5,03;1,69;1,79;;
NCI-H1869;lung;lung_NSCLC_squamous_cell_carcinoma;243.305888;OV7;Ovarian Epithelial Tumor;4,76;2,75;7,93;4,52;1,51;0,93;;
SW626;urogenital_system;ovary;252.891821;MEC1;Non-Hodgkin Lymphoma;3,85;3,39;7,12;4,17;2,04;0,29;;
MDA-MB-175-VII;breast;breast;257.325023;EJM;Non-Hodgkin Lymphoma;4,92;4,46;8,76;5,47;2,44;0,38;;
EBC-1;lung;lung_NSCLC_squamous_cell_carcinoma;260.107008;U2904;Non-Hodgkin Lymphoma;6,86;3,19;6,89;3,45;1,73;0,43;;
NCI-H747;digestive_system;large_intestine;262.374515;P4E6;Prostate Adenocarcinoma;4,90;2,17;7,09;3,30;0,99;1,68;;
LN-405;nervous_system;glioma;264.635567;NCIH2342;Non-Small Cell Lung Cancer;6,32;3,65;7,69;4,06;2,94;3,12;;
NCI-H2591;lung;mesothelioma;264.981636;CMK115;Acute Myeloid Leukemia;4,89;2,19;6,39;3,90;2,62;5,08;;
NCI-H727;lung;lung_NSCLC_carcinoid;265.417309;HT1197;Bladder Urothelial Carcinoma;5,37;2,58;7,28;4,77;0,52;2,32;;
PA-TU-8902;pancreas;pancreas;269.543073;CAL12T;Non-Small Cell Lung Cancer;6,48;2,73;7,06;4,29;1,60;1,05;;
MFH-ino;soft_tissue;soft_tissue_other;269.647497;OCILY12;Non-Hodgkin Lymphoma;4,53;2,66;6,49;2,06;0,93;2,36;;
SW1573;lung;lung_NSCLC_adenocarcinoma;274.014265;GA10;Non-Hodgkin Lymphoma;6,33;3,16;6,02;3,64;1,71;0,10;;
MKN7;digestive_system;stomach;276.168386;RH36;Rhabdomyosarcoma;5,27;1,83;7,06;3,65;2,34;2,97;;
EFM-19;breast;breast;280.501138;T24;Bladder Urothelial Carcinoma;3,49;2,80;7,31;4,21;1,46;1,74;;
NCI-H2066;lung;lung_small_cell_carcinoma;302.737981;HMC18;Invasive Breast Carcinoma;2,93;3,28;6,99;4,90;1,58;2,61;;
SCC90;aero_digestive_tract;head_and_neck;306.425247;CACO2;Colorectal Adenocarcinoma;2,46;2,91;7,32;4,75;0,63;4,08;;
BT-549;breast;breast;307.821119;NCIH2452;Pleural Mesothelioma;5,16;3,17;7,42;4,70;0,97;0,78;;
PANC-08-13;pancreas;pancreas;309.134800;SW900;Non-Small Cell Lung Cancer;3,90;3,29;6,58;4,03;1,54;1,62;;
LN-229;nervous_system;glioma;309.226584;KD;Embryonal Tumor;5,88;3,65;7,66;4,50;1,91;2,87;;
NCI-H2461;lung;mesothelioma;313.126870;NCIH28;Pleural Mesothelioma;6,01;2,50;6,54;3,83;1,04;1,59;;
HCC1143;breast;breast;316.615553;LOVO;Colorectal Adenocarcinoma;5,13;3,39;6,83;4,00;1,99;2,44;;
PA-TU-8988T;pancreas;pancreas;317.947678;NCIH929;Non-Hodgkin Lymphoma;5,04;3,22;7,84;3,05;1,97;0,54;;
JHH-6;digestive_system;liver;321.295264;KOPN8;B-Lymphoblastic Leukemia/Lymphoma;7,50;3,09;5,94;3,29;1,26;0,25;;
NCI-H2722;lung;mesothelioma;325.493470;NCIH226;Pleural Mesothelioma;6,31;2,88;7,95;4,29;0,90;3,48;;
A498;kidney;kidney;328.653786;NCIH1437;Non-Small Cell Lung Cancer;3,94;1,92;7,11;4,29;2,93;1,72;;
NUGC-4;digestive_system;stomach;339.842743;KHM1B;Non-Hodgkin Lymphoma;3,69;2,81;5,78;3,80;1,69;0,57;;
SNU-61;digestive_system;large_intestine;341.997338;HMY1;Melanoma;4,63;3,19;10,38;5,69;4,12;3,54;;
NCI-H2452;lung;mesothelioma;343.913776;HEC50B;Endometrial Carcinoma;4,11;3,31;7,50;5,59;0,64;2,35;;
NCI-H661;lung;lung_NSCLC_large_cell;354.976829;TC71;Ewing Sarcoma;2,96;2,81;6,81;4,12;2,09;1,76;;
SNU-387;digestive_system;liver;358.333071;OVSAHO;Ovarian Epithelial Tumor;3,46;3,14;7,76;4,20;1,56;1,43;;
RCC10RGB;kidney;kidney;359.810015;HS746T;Esophagogastric Adenocarcinoma;3,27;3,55;7,86;5,41;2,84;1,59;;
T47D;breast;breast;360.607187;NCIH596;Non-Small Cell Lung Cancer;6,38;2,68;7,01;4,59;2,55;1,29;;
